Date Of Stop	Time Of Stop	SubAgency	Location	Year	Color	Race	Gender	Geolocation	Label
09/03/2013	21:40:00	6th district, Gaithersburg / Montgomery Village	355/MVA	1991	BLACK	BLACK	M	(38.25488745, -79.3016450833333)	1
08/27/2015	08:45:00	Headquarters and Special Operations	I270 AT SHADY GROVE RD	2008	BLACK	OTHER	M	(38.3731783333333, -75.0692383333333)	1
06/07/2016	07:24:00	2nd district, Bethesda	KENSINGTON PKWY @ KENT ST	2010	BROWN	WHITE	F	(38.502245, -76.8648366666667)	1
06/07/2016	07:24:00	2nd district, Bethesda	KENSINGTON PKWY @ KENT ST	2010	BROWN	WHITE	F	(38.502245, -76.8648366666667)	1
03/09/2015	06:33:00	4th district, Wheaton	GEORGIA AVE / DENLEY RD	1987	BROWN	HISPANIC	M	(38.66493, -77.0325133333333)	1
03/09/2015	06:33:00	4th district, Wheaton	GEORGIA AVE / DENLEY RD	1987	BROWN	HISPANIC	M	(38.66493, -77.0325133333333)	1
03/09/2015	06:33:00	4th district, Wheaton	GEORGIA AVE / DENLEY RD	1987	BROWN	HISPANIC	M	(38.66493, -77.0325133333333)	1
12/03/2017	06:03:00	6th district, Gaithersburg / Montgomery Village	I-270 NB @ EXIT 10	2009	SILVER	HISPANIC	M	(38.6656726666667, -77.245512)	1
12/03/2017	06:03:00	6th district, Gaithersburg / Montgomery Village	I-270 NB @ EXIT 10	2009	SILVER	HISPANIC	M	(38.6656726666667, -77.245512)	1
12/03/2017	06:03:00	6th district, Gaithersburg / Montgomery Village	I-270 NB @ EXIT 10	2009	SILVER	HISPANIC	M	(38.6656726666667, -77.245512)	1
12/03/2017	06:03:00	6th district, Gaithersburg / Montgomery Village	I-270 NB @ EXIT 10	2009	SILVER	HISPANIC	M	(38.6656726666667, -77.245512)	1
12/03/2017	06:03:00	6th district, Gaithersburg / Montgomery Village	I-270 NB @ EXIT 10	2009	SILVER	HISPANIC	M	(38.6656726666667, -77.245512)	1
04/28/2015	17:04:00	Headquarters and Special Operations	ICC EAST MILE MARKER 51	2006	GREEN, LGT	HISPANIC	M	(38.7642733333333, -76.86922)	1
09/30/2015	16:45:00	3rd district, Silver Spring	8617 PINEY BRANCH RD	2000	BLUE	HISPANIC	M	(38.784505, -76.0766966666667)	1
09/30/2015	16:45:00	3rd district, Silver Spring	8617 PINEY BRANCH RD	2000	BLUE	HISPANIC	M	(38.784505, -76.0766966666667)	1
09/30/2015	16:06:00	3rd district, Silver Spring	GEORGIA AVE / BLAIR MILL RD	2005	GRAY	WHITE	M	(38.784505, -76.0766966666667)	1
09/30/2015	16:45:00	3rd district, Silver Spring	8617 PINEY BRANCH RD	2000	BLUE	HISPANIC	M	(38.784505, -76.0766966666667)	1
09/30/2015	16:45:00	3rd district, Silver Spring	8617 PINEY BRANCH RD	2000	BLUE	HISPANIC	M	(38.784505, -76.0766966666667)	1
09/30/2015	16:45:00	3rd district, Silver Spring	8617 PINEY BRANCH RD	2000	BLUE	HISPANIC	M	(38.784505, -76.0766966666667)	1
06/17/2013	11:38:00	Headquarters and Special Operations	CW NB COLESVILLE RD / NOYES ST	2004	GRAY	BLACK	M	(38.7947183333333, -77.6421616666667)	1
12/01/2017	09:04:00	2nd district, Bethesda	DEMOCRACY BLVD/ WESTLAKE DRIVE	2011	SILVER	WHITE	F	(38.8194716666667, -76.77269)	1
06/16/2015	07:01:00	4th district, Wheaton	GEORGIA AVE/ @ HOME DEPOT	2002	BEIGE	WHITE	M	(38.8526283333333, -76.8582683333333)	1
07/12/2013	18:14:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	1992	WHITE	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	18:14:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	1992	WHITE	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	18:14:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	1992	WHITE	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	18:26:00	3rd district, Silver Spring	SLIGO AVE/ FENTON ST	1998	WHITE	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	21:02:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	2003	BLACK	BLACK	F	(38.85519545, -76.96404005)	1
07/13/2013	00:22:00	3rd district, Silver Spring	NORTH BOUND COLESVILLE RD/ GEORGIA	1996	BLUE	WHITE	M	(38.85519545, -76.96404005)	1
07/12/2013	17:35:00	3rd district, Silver Spring	FENTON ST/ WAYNE AVE	1998	WHITE	WHITE	F	(38.85519545, -76.96404005)	1
07/12/2013	17:49:00	3rd district, Silver Spring	FENTON ST/ SILVER SPRING AVE	1999	BLACK	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	18:36:00	3rd district, Silver Spring	SLIGO AVE/ FENTON ST	1998	WHITE	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	21:02:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	2003	BLACK	BLACK	F	(38.85519545, -76.96404005)	1
07/12/2013	21:23:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	2013	BLACK	BLACK	M	(38.85519545, -76.96404005)	1
07/12/2013	22:04:00	3rd district, Silver Spring	UNIVERSITY BLVD/ ARCOLA	2004	SILVER	WHITE	F	(38.85519545, -76.96404005)	1
07/12/2013	22:37:00	3rd district, Silver Spring	10400 BLK NEW HAMPSHIRE AVE	2006	GRAY	HISPANIC	M	(38.85519545, -76.96404005)	1
07/12/2013	22:37:00	3rd district, Silver Spring	10400 BLK NEW HAMPSHIRE AVE	2006	GRAY	HISPANIC	M	(38.85519545, -76.96404005)	1
07/12/2013	23:07:00	3rd district, Silver Spring	NEW HAMPSHIRE AVE/ LOCKWOOD DR	2011	GRAY	BLACK	M	(38.85519545, -76.96404005)	1
07/13/2013	00:22:00	3rd district, Silver Spring	NORTH BOUND COLESVILLE RD/ GEORGIA	1996	BLUE	WHITE	M	(38.85519545, -76.96404005)	1
07/12/2013	21:23:00	3rd district, Silver Spring	GEOEGIA AVE/ SLIGO AVE	2013	BLACK	BLACK	M	(38.85519545, -76.96404005)	1
12/22/2017	01:20:00	2nd district, Bethesda	GEORGIA AVE/ RIPLEY ST.	2012	BLUE, DARK	BLACK	M	(38.8640498333333, -77.1485711666667)	1
12/22/2017	01:20:00	2nd district, Bethesda	GEORGIA AVE/ RIPLEY ST.	2012	BLUE, DARK	BLACK	M	(38.8640498333333, -77.1485711666667)	1
12/22/2017	01:20:00	2nd district, Bethesda	GEORGIA AVE/ RIPLEY ST.	2012	BLUE, DARK	BLACK	M	(38.8640498333333, -77.1485711666667)	1
12/22/2017	01:20:00	2nd district, Bethesda	GEORGIA AVE/ RIPLEY ST.	2012	BLUE, DARK	BLACK	M	(38.8640498333333, -77.1485711666667)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/14/2015	21:49:00	2nd district, Bethesda	OLD GEORGETOWN/I-270	2007	BLACK	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	23:49:00	2nd district, Bethesda	DEMOCRACY/BELLS MILL	2005	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	23:49:00	2nd district, Bethesda	DEMOCRACY/BELLS MILL	2005	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/03/2015	21:11:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2000	BLUE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/05/2015	23:19:00	2nd district, Bethesda	ROCKVILLE PIKE/MARINELLI RD	2007	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/11/2015	22:02:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2001	TAN	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/24/2015	21:47:00	2nd district, Bethesda	7101 DEMOCRACY BLVD	2000	BEIGE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/24/2015	21:47:00	2nd district, Bethesda	7101 DEMOCRACY BLVD	2000	BEIGE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/24/2015	21:47:00	2nd district, Bethesda	7101 DEMOCRACY BLVD	2000	BEIGE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/03/2015	21:11:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2000	BLUE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/03/2015	21:43:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2015	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/03/2015	22:15:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2011	MAROON	WHITE	F	(38.8702933333333, -94.6109883333333)	1
02/03/2015	22:15:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2011	MAROON	WHITE	F	(38.8702933333333, -94.6109883333333)	1
02/03/2015	22:15:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2011	MAROON	WHITE	F	(38.8702933333333, -94.6109883333333)	1
02/04/2015	21:15:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2008	BLUE, DARK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/04/2015	21:52:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2012	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/05/2015	23:19:00	2nd district, Bethesda	ROCKVILLE PIKE/MARINELLI RD	2007	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/05/2015	23:19:00	2nd district, Bethesda	ROCKVILLE PIKE/MARINELLI RD	2007	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/10/2015	21:43:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2012	WHITE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/11/2015	22:02:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2001	TAN	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/11/2015	22:02:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2001	TAN	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/24/2015	21:47:00	2nd district, Bethesda	7101 DEMOCRACY BLVD	2000	BEIGE	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/26/2015	21:30:00	2nd district, Bethesda	OLD GEORGETOWN/TUCKERMAN	2010	GRAY	BLACK	F	(38.8702933333333, -94.6109883333333)	1
02/26/2015	21:30:00	2nd district, Bethesda	OLD GEORGETOWN/TUCKERMAN	2010	GRAY	BLACK	F	(38.8702933333333, -94.6109883333333)	1
02/26/2015	21:30:00	2nd district, Bethesda	OLD GEORGETOWN/TUCKERMAN	2010	GRAY	BLACK	F	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/03/2015	21:27:00	2nd district, Bethesda	355/CEDAR	2011	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/14/2015	21:49:00	2nd district, Bethesda	OLD GEORGETOWN/I-270	2007	BLACK	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/14/2015	21:49:00	2nd district, Bethesda	OLD GEORGETOWN/I-270	2007	BLACK	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/14/2015	21:49:00	2nd district, Bethesda	OLD GEORGETOWN/I-270	2007	BLACK	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/14/2015	21:49:00	2nd district, Bethesda	OLD GEORGETOWN/I-270	2007	BLACK	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	23:49:00	2nd district, Bethesda	DEMOCRACY/BELLS MILL	2005	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	23:49:00	2nd district, Bethesda	DEMOCRACY/BELLS MILL	2005	WHITE	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/03/2015	21:31:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2007	RED	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/03/2015	22:03:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2003	GRAY	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/04/2015	21:29:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2008	GRAY	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/04/2015	21:40:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2013	BLACK	WHITE	F	(38.8702933333333, -94.6109883333333)	1
02/05/2015	01:29:00	2nd district, Bethesda	OLD GEORGETOWN/CORDELL	2003	MAROON	BLACK	M	(38.8702933333333, -94.6109883333333)	1
02/10/2015	21:23:00	2nd district, Bethesda	DEMOCRACY/OLD GEORGETOWN	2012	BLUE, LIGHT	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/10/2015	21:23:00	2nd district, Bethesda	DEMOCRACY/OLD GEORGETOWN	2012	BLUE, LIGHT	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/10/2015	21:23:00	2nd district, Bethesda	DEMOCRACY/OLD GEORGETOWN	2012	BLUE, LIGHT	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/10/2015	22:05:00	2nd district, Bethesda	DEMOCRACY/BELLS MILL	2011	BLACK	ASIAN	F	(38.8702933333333, -94.6109883333333)	1
02/11/2015	21:40:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2012	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
02/11/2015	21:52:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2011	GRAY	ASIAN	M	(38.8702933333333, -94.6109883333333)	1
02/11/2015	22:14:00	2nd district, Bethesda	DEMOCRACY/FERNWOOD	2012	GRAY	ASIAN	F	(38.8702933333333, -94.6109883333333)	1
02/11/2015	22:14:00	2nd district, Bethesda	DEMOCRACY/FERNWOOD	2012	GRAY	ASIAN	F	(38.8702933333333, -94.6109883333333)	1
02/23/2015	22:10:00	2nd district, Bethesda	WESTLAKE/MOTOR CITY	1998	RED	HISPANIC	M	(38.8702933333333, -94.6109883333333)	1
02/25/2015	00:03:00	2nd district, Bethesda	DEMOCRACY/WESTLAKE	2012	BROWN	BLACK	F	(38.8702933333333, -94.6109883333333)	1
02/26/2015	21:12:00	2nd district, Bethesda	OLD GEORGETOWN/DEMOCRACY	2012	WHITE	WHITE	F	(38.8702933333333, -94.6109883333333)	1
02/26/2015	21:12:00	2nd district, Bethesda	OLD GEORGETOWN/DEMOCRACY	2012	WHITE	WHITE	F	(38.8702933333333, -94.6109883333333)	1
02/26/2015	22:06:00	2nd district, Bethesda	OLD GEORGETOWN/DEMOCRACY	2007	WHITE	HISPANIC	F	(38.8702933333333, -94.6109883333333)	1
03/02/2015	23:05:00	2nd district, Bethesda	DEMOCRACY BLVD/I-270	2010	GRAY	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/09/2015	23:44:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2011	SILVER	WHITE	F	(38.8702933333333, -94.6109883333333)	1
03/16/2015	21:05:00	2nd district, Bethesda	OLD GEORGETOWN/W CEDAR	2000	SILVER	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	21:05:00	2nd district, Bethesda	OLD GEORGETOWN/W CEDAR	2000	SILVER	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	21:05:00	2nd district, Bethesda	OLD GEORGETOWN/W CEDAR	2000	SILVER	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	21:53:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2007	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/16/2015	21:53:00	2nd district, Bethesda	DEMOCRACY/SWANSONG	2007	BLACK	WHITE	M	(38.8702933333333, -94.6109883333333)	1
03/02/2015	23:05:00	2nd district, Bethesda	DEMOCRACY BLVD/I-270	2010	GRAY	BLACK	M	(38.8702933333333, -94.6109883333333)	1
03/02/2015	23:05:00	2nd district, Bethesda	DEMOCRACY BLVD/I-270	2010	GRAY	BLACK	M	(38.8702933333333, -94.6109883333333)	1
12/07/2014	21:57:00	2nd district, Bethesda	NB 355/ SOUTH DR	2006	SILVER	HISPANIC	M	(38.8785133333333, -77.0034466666667)	1
01/31/2017	09:45:00	1st district, Rockville	HALPINE ROAD AT CHAPMAN AVE	1995	WHITE	WHITE	M	(38.8790976666667, -77.0051073333333)	1
10/24/2013	16:17:00	3rd district, Silver Spring	COLESVILLE RD/ SPRING ST	2011	RED	WHITE	F	(38.8885839833333, -76.7803043)	1
10/24/2013	16:17:00	3rd district, Silver Spring	COLESVILLE RD/ SPRING ST	2011	RED	WHITE	F	(38.8885839833333, -76.7803043)	1
09/24/2013	22:48:00	3rd district, Silver Spring	GEOEGIA AVE/WAYNE AVE	2001	BLACK	BLACK	F	(38.88875105, -76.7803566333333)	1
09/24/2013	22:48:00	3rd district, Silver Spring	GEOEGIA AVE/WAYNE AVE	2001	BLACK	BLACK	F	(38.88875105, -76.7803566333333)	1
09/24/2015	06:20:00	1st district, Rockville	W/B I-370 @ 270 INTERCHANGE	2000	GOLD	BLACK	F	(38.89679, -76.0514333333333)	1
11/18/2015	06:27:00	1st district, Rockville	W/B MD200 @ REDLAND RD OVERPASS	2015	BLACK	BLACK	M	(38.8968416666667, -76.0514883333333)	1
02/19/2015	16:36:00	2nd district, Bethesda	CONNECTICUT AVE/ CHEVY CHASE LAKE DR	2007	BEIGE	BLACK	M	(38.9036166666667, -77.0035133333333)	1
06/01/2015	08:21:00	Headquarters and Special Operations	E GUDE DRIVE/ CRABBS BRANCH RD	1998	WHITE	BLACK	M	(38.905355, -76.8600333333333)	1
06/01/2015	08:21:00	Headquarters and Special Operations	E GUDE DRIVE/ CRABBS BRANCH RD	1998	WHITE	BLACK	M	(38.905355, -76.8600333333333)	1
06/01/2015	08:21:00	Headquarters and Special Operations	E GUDE DRIVE/ CRABBS BRANCH RD	1998	WHITE	BLACK	M	(38.905355, -76.8600333333333)	1
05/10/2016	10:55:00	Headquarters and Special Operations	FEDEX FIELD AT ARENA DRIVE	2006	WHITE	BLACK	M	(38.9055716666667, -76.860045)	1
05/10/2015	05:36:00	2nd district, Bethesda	OAKLYN DR / CRIMSON LEAF TERRACE	2003	GRAY	BLACK	M	(38.9175916666667, -76.8798933333333)	1
05/10/2015	05:36:00	2nd district, Bethesda	OAKLYN DR / CRIMSON LEAF TERRACE	2003	GRAY	BLACK	M	(38.9175916666667, -76.8798933333333)	1
05/10/2015	05:36:00	2nd district, Bethesda	OAKLYN DR / CRIMSON LEAF TERRACE	2003	GRAY	BLACK	M	(38.9175916666667, -76.8798933333333)	1
05/10/2015	05:36:00	2nd district, Bethesda	OAKLYN DR / CRIMSON LEAF TERRACE	2003	GRAY	BLACK	M	(38.9175916666667, -76.8798933333333)	1
05/10/2015	05:36:00	2nd district, Bethesda	OAKLYN DR / CRIMSON LEAF TERRACE	2003	GRAY	BLACK	M	(38.9175916666667, -76.8798933333333)	1
08/16/2014	17:00:00	6th district, Gaithersburg / Montgomery Village	SHADY GROVE RD SB/ CHOKE CHERRY RD	1998	BLACK	ASIAN	M	(38.92781, -77.0135933333333)	1
12/08/2012	05:51:00	6th district, Gaithersburg / Montgomery Village	GEORGIA AVE AT NOYES DR	2007	BLACK	OTHER	F	(38.92934945, -77.0165679666667)	1
12/08/2012	05:51:00	6th district, Gaithersburg / Montgomery Village	GEORGIA AVE AT NOYES DR	2007	BLACK	OTHER	F	(38.92934945, -77.0165679666667)	1
09/16/2016	22:00:00	4th district, Wheaton	GEORGIA AVE @ LAYHILL RD	2013	BLACK	HISPANIC	F	(38.929465, -77.0169116666667)	1
09/16/2016	22:00:00	4th district, Wheaton	GEORGIA AVE @ LAYHILL RD	2013	BLACK	HISPANIC	F	(38.929465, -77.0169116666667)	1
12/11/2014	08:16:00	3rd district, Silver Spring	PINEY BRANCH / CARROLL			HISPANIC	F	(38.929515, -77.01683)	1
06/18/2016	23:08:00	3rd district, Silver Spring	GEORGIA AVE @ BLAIR MILL RD	2008	BLACK	BLACK	M	(38.92956, -77.01688)	1
06/18/2016	23:08:00	3rd district, Silver Spring	GEORGIA AVE @ BLAIR MILL RD	2008	BLACK	BLACK	M	(38.92956, -77.01688)	1
06/18/2016	23:08:00	3rd district, Silver Spring	GEORGIA AVE @ BLAIR MILL RD	2008	BLACK	BLACK	M	(38.92956, -77.01688)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
09/17/2017	23:17:00	3rd district, Silver Spring	COLESVILLE RD / SLIGO CREEK PKWY	2011	BLACK	WHITE	M	(38.9298516666667, -77.0163966666667)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
11/02/2013	04:07:00	3rd district, Silver Spring	COLESVILLE RD @ LORAIN AVE	2008	BLACK	BLACK	M	(38.9299166666667, -77.016435)	1
05/17/2013	19:06:00	2nd district, Bethesda	CONNECTICUT AVE/BEACH DR	2000	GREEN	WHITE	M	(38.9299253666667, -77.01608875)	1
05/17/2013	19:06:00	2nd district, Bethesda	CONNECTICUT AVE/BEACH DR	2000	GREEN	WHITE	M	(38.9299253666667, -77.01608875)	1
04/25/2018	16:41:00	6th district, Gaithersburg / Montgomery Village	SANDY SPRING ROAD / MCKNEW ROAD	2010	WHITE	OTHER	M	(38.9299916666667, -76.9200266666667)	1
